000000,7E7E7E
000033,8A8A8A
000066,909090
000099,9999CC
0000CC,9999FF
0000FF,9999FF

006600,909090
006633,99CC99
006666,A2A2A2
006699,99CCCC
0066CC,99CCFF
0066FF,99CCFF

00CC00,99FF99
00CC33,99FF99
00CC66,99FFCC
00CC99,99FFCC
00CCCC,99FFFF
00CCFF,99FFFF


003300,8A8A8A
003333,909090
003366,9999CC
003399,9999CC
0033CC,9999FF
0033FF,9999FF




7E7E7E,8A8A8A,909090,9999CC,9999FF,9999FF,  909090,99CC99,A2A2A2,99CCCC,99CCFF,99CCFF,  99FF99,99FF99,99FFCC,99FFCC,99FFFF,99FFFF
8A8A8A,909090,9999CC,9999CC,9999FF,9999FF,
